Term,Coef,SE Coef,95% CI,T-Value,P-Value
Constant,3.291,0.4,"(2.507, 4.075)",8.23,0
Distance(mi),0.0926,0.00133,"(0.09000, 0.09520)",69.76,0
Temperature(F),-0.000807,0.000725,"(-0.002228, 0.000614)",-1.11,0.266
Wind_Chill(F),0.000133,0.000649,"(-0.001138, 0.001404)",0.21,0.837
Humidity(%),0.000037,0.000076,"(-0.000111, 0.000186)",0.49,0.621
Pressure(in),-0.00047,0.00272,"(-0.00580, 0.00486)",-0.17,0.864
Visibility(mi),-0.000422,0.000542,"(-0.001484, 0.000641)",-0.78,0.437
Wind_Speed(mph),0.000824,0.000329,"(0.000179, 0.001468)",2.51,0.012
Precipitation(in),-0.1923,0.0389,"(-0.2685, -0.1160)",-4.94,0
Junction,-0.00232,0.00328,"(-0.00875, 0.00410)",-0.71,0.478
Traffic_Signal,0.05569,0.00413,"(0.04759, 0.06379)",13.48,0
Sunrise_Sunset,-0.0176,0.00434,"(-0.02610, -0.00910)",-4.06,0
Astronomical_Twilight,0.01625,0.00516,"(0.00613, 0.02637)",3.15,0.002
Duration,-0.000254,0.000657,"(-0.001542, 0.001034)",-0.39,0.699
State, , , , , 
  AR,0.3949,0.0664,"(0.2647, 0.5251)",5.95,0
  AZ,0.6168,0.0573,"(0.5045, 0.7291)",10.76,0
  CA,-0.1765,0.0453,"(-0.2652, -0.0877)",-3.9,0
  CO,0.7697,0.053,"(0.6657, 0.8736)",14.51,0
  CT,0.3468,0.0541,"(0.2409, 0.4528)",6.42,0
  DC,0.494,0.111,"(0.276, 0.712)",4.44,0
  DE,1.0847,0.0752,"(0.9374, 1.2320)",14.43,0
  FL,0.3103,0.0549,"(0.2028, 0.4179)",5.66,0
  GA,0.7515,0.0507,"(0.6521, 0.8508)",14.82,0
  IA,0.2227,0.0719,"(0.0819, 0.3636)",3.1,0.002
  ID,-0.1494,0.0978,"(-0.3410, 0.0422)",-1.53,0.127
  IL,0.5988,0.0506,"(0.4997, 0.6980)",11.84,0
  IN,0.6723,0.0556,"(0.5633, 0.7813)",12.09,0
  KS,0.4678,0.0805,"(0.3100, 0.6257)",5.81,0
  KY,0.4378,0.0692,"(0.3022, 0.5734)",6.33,0
  LA,0.6089,0.08,"(0.4522, 0.7656)",7.61,0
  MA,-0.0656,0.0626,"(-0.1882, 0.0571)",-1.05,0.295
  MD,0.702,0.0588,"(0.5867, 0.8172)",11.94,0
  ME,-0.2989,0.0582,"(-0.4130, -0.1847)",-5.13,0
  MI,0.5225,0.0483,"(0.4278, 0.6172)",10.82,0
  MN,-0.2817,0.0471,"(-0.3740, -0.1894)",-5.98,0
  MO,0.4179,0.0698,"(0.2811, 0.5548)",5.99,0
  MS,0.124,0.0671,"(-0.0076, 0.2556)",1.85,0.065
  MT,0.255,0.122,"(0.017, 0.493)",2.1,0.036
  NC,0.4484,0.0551,"(0.3405, 0.5563)",8.15,0
  ND,0.529,0.276,"(-0.011, 1.070)",1.92,0.055
  NE,0.5152,0.073,"(0.3722, 0.6583)",7.06,0
  NH,-0.2545,0.0572,"(-0.3666, -0.1424)",-4.45,0
  NJ,0.5499,0.052,"(0.4480, 0.6518)",10.58,0
  NM,0.547,0.14,"(0.272, 0.822)",3.9,0
  NV,0.845,0.144,"(0.563, 1.126)",5.88,0
  NY,0.2969,0.0476,"(0.2035, 0.3902)",6.23,0
  OH,0.6386,0.059,"(0.5230, 0.7541)",10.83,0
  OK,0.25,0.54,"(-0.809, 1.309)",0.46,0.644
  OR,-0.2513,0.0453,"(-0.3402, -0.1625)",-5.54,0
  PA,0.7314,0.0582,"(0.6173, 0.8454)",12.57,0
  RI,-0.3034,0.0895,"(-0.4789, -0.1279)",-3.39,0.001
  SC,0.2433,0.0586,"(0.1285, 0.3582)",4.15,0
